plan_id,provider_id,plan_name,price,currency,billing_frequency,features,created_at
862f6f46-4f45-4289-8893-2bc2c4376f65,1,Brand Leading-Edge Paradigms,53.57,SAR,quarterly,"{""near"": ""umQJlsYJyGjreQGEoNmB"", ""process"": ""mtsvNZBCgoJOWVDVLgck""}",2023-07-06 21:44:18.494717
e738049e-ffd5-4b5a-8519-b1bf2e80c346,1,Optimize Frictionless Supply-Chains,229.16,SAR,quarterly,"{""edge"": ""KVaBUMBpnqFtYGaJHaQk"", ""other"": ""hbhJASUobSxbwFOLQtoc""}",2021-10-26 02:53:39.600459
c708760f-9a82-43c4-8c43-e7eb1fb93880,1,Seize E-Business Markets,708.4,USD,annual,"{""player"": 4378, ""fear"": 1983}",2023-03-17 22:29:44.210269
ada1ddaa-52e1-451d-a8a8-c11f2d99821a,1,Scale Strategic Architectures,565.66,EUR,annual,"{""event"": 2388, ""several"": 9362, ""contain"": ""dSGsBpfvouanaABLxxoU"", ""north"": 8301}",2024-06-09 07:52:47.727675
b3414704-34ec-4d45-84ab-838e9e0d38c2,1,Repurpose Global Solutions,294.44,SAR,annual,"{""activity"": ""jLTeNURTcWGGpBDMhyiJ""}",2024-09-03 11:18:47.621973
abaca0ad-932e-4fcf-85c5-e95c455177c4,2,Drive Interactive Infrastructures,21.28,SAR,monthly,"{""himself"": ""ZNgUuZhpQTuxqlfzdVWs"", ""suffer"": 1524}",2024-01-05 22:36:20.069165
ea3f7516-ae50-4a60-ab8a-92f65201443d,2,Reinvent Intuitive Architectures,438.26,MXN,annual,"{""play"": ""NuAxTybSqgNRyDBJTKUZ""}",2020-07-17 01:38:52.173376
27188e07-2150-475c-b00f-8ab73d75e35a,2,Monetize Plug-And-Play Supply-Chains,239.67,GBP,quarterly,"{""husband"": ""AfEarBtTNXfuScwMrjiE"", ""its"": ""CGktEtCftcBSbNxVrzSB"", ""almost"": 466}",2024-05-15 14:51:19.608331
8ace7b42-b2a6-48a8-8863-ec3e7369d428,2,Visualize Next-Generation Eyeballs,279.92,USD,annual,"{""task"": ""nLthdlgGZwwykEDKzVGJ"", ""management"": 7229, ""toward"": ""zREBQMhiCOCzHCqdqXDN""}",2022-05-20 13:19:33.817466
ab29b7ca-c7ea-4e0f-a26e-f9a79220339f,2,Maximize Efficient Synergies,90.11,GBP,monthly,"{""deal"": 6927}",2023-06-03 07:27:31.822395
b0dbe0c7-9eef-4ae0-a5f7-fb0aba165fb5,3,Evolve Leading-Edge Info-Mediaries,129.01,GBP,quarterly,"{""teacher"": 493, ""us"": 8215}",2024-07-25 00:31:39.572746
